ID,Sample,District,Division,Site,Station,Day,Month,Gene,Ct Value,Copy Number,Viral Load ,Region
82,Sample-112,Brahmobaria,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/14/2020,Jamuna,ORF1ab,37.4,9.71E+02,5.83E+05,Meghna
85,Sample-115,Brahmobaria,Chittagong,Drainage,City Drain Effluent,12/14/2020,Jamuna,ORF1ab,37.79,8.43E+02,5.06E+05,Meghna
261,Sample-111,Brahmobaria,Chittagong,Drainage,Isolation Center Drain Effluent,12/14/2020,Jamuna,N,41.11,1.40E+02,1.06E+05,Meghna
262,Sample-112,Brahmobaria,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/14/2020,Jamuna,N,32.34,2.63E+03,1.58E+06,Meghna
265,Sample-115,Brahmobaria,Chittagong,Drainage,City Drain Effluent,12/14/2020,Jamuna,N,36.69,1.20E+03,7.22E+05,Jamuna
32,Sample-32,Dhaka,Dhaka,Drainage,Mohammadpur 1,12/6/2020,Jamuna,ORF1ab,36.08,1.88E+03,1.13E+06,Padma
33,Sample-33,Dhaka,Dhaka,Drainage,Mohammadpur 2,12/6/2020,Jamuna,ORF1ab,41.77,1.11E+02,1.06E+05,Padma
34,Sample-34,Dhaka,Dhaka,Drainage,Mohammadpur 3,12/6/2020,Jamuna,ORF1ab,34.43,5.03E+03,3.02E+06,Padma
35,Sample-35,Dhaka,Dhaka,Drainage,City Drain Effluent,12/6/2020,Jamuna,ORF1ab,41.67,1.04E+02,1.22E+05,Padma
36,Sample-36,Dhaka,Dhaka,Drainage,Mirpur Slum 2,12/6/2020,Jamuna,ORF1ab,36.66,1.21E+03,7.28E+05,Padma
37,Sample-37,Dhaka,Dhaka,Drainage,Mirpur Slum 3,12/6/2020,Jamuna,ORF1ab,41.63,1.93E+02,1.20E+05,Padma
38,Sample-38,Dhaka,Dhaka,Drainage,korail slum 1,12/6/2020,Jamuna,ORF1ab,37.58,9.12E+02,5.47E+05,Padma
39,Sample-39,Dhaka,Dhaka,Drainage,korail slum 2,12/6/2020,Jamuna,ORF1ab,41.62,1.52E+02,1.11E+05,Padma
40,Sample-40,Dhaka,Dhaka,Drainage,korail slum 3,12/6/2020,Jamuna,ORF1ab,37.41,9.68E+02,5.81E+05,Padma
42,Sample-42,Dhaka,Dhaka,Drainage,Isolation Center Drain Effluent,12/6/2020,Jamuna,ORF1ab,33.34,6.40E+03,3.84E+06,Padma
43,Sample-43,Dhaka,Dhaka,Drainage,Isolation Center Drain Effluent,12/6/2020,Jamuna,ORF1ab,34.37,5.15E+03,3.09E+06,Padma
45,Sample-45,Dhaka,Dhaka,Drainage,Sadar Hospital Drain Effluent,12/6/2020,Jamuna,ORF1ab,40.95,1.95E+02,1.26E+05,Padma
46,Sample-46,Dhaka,Dhaka,Drainage,Sadar Hospital Drain Effluent,12/6/2020,Jamuna,ORF1ab,37.41,9.68E+02,5.81E+05,Padma
48,Sample-48,Dhaka,Dhaka,Drainage,kuwait Moitri Hospital,12/6/2020,Jamuna,ORF1ab,41.9,1.22E+02,1.12E+05,Padma
49,Sample-49,Dhaka,Dhaka,Drainage,kuwait Moitri Hospital,12/6/2020,Jamuna,ORF1ab,37.56,9.19E+02,5.51E+05,Padma
212,Sample-32,Dhaka,Dhaka,Drainage,Mohammadpur 1,12/6/2020,Jamuna,N,34.12,5.63E+03,3.38E+06,Padma
213,Sample-33,Dhaka,Dhaka,Drainage,Mohammadpur 2,12/6/2020,Jamuna,N,37.42,9.65E+02,5.79E+05,Padma
214,Sample-34,Dhaka,Dhaka,Drainage,Mohammadpur 3,12/6/2020,Jamuna,N,37.41,9.68E+02,5.81E+05,Padma
215,Sample-35,Dhaka,Dhaka,Drainage,City Drain Effluent,12/6/2020,Jamuna,N,37.48,9.45E+02,5.67E+05,Padma
216,Sample-36,Dhaka,Dhaka,Drainage,Mirpur Slum 2,12/6/2020,Jamuna,N,35.44,3.11E+03,1.86E+06,Padma
217,Sample-37,Dhaka,Dhaka,Drainage,Mirpur Slum 3,12/6/2020,Jamuna,N,41.9,1.93E+02,1.06E+05,Padma
218,Sample-38,Dhaka,Dhaka,Drainage,korail slum 1,12/6/2020,Jamuna,N,37.42,9.65E+02,5.79E+05,Padma
219,Sample-39,Dhaka,Dhaka,Drainage,korail slum 2,12/6/2020,Jamuna,N,37.42,9.65E+02,5.79E+05,Padma
220,Sample-40,Dhaka,Dhaka,Drainage,korail slum 3,12/6/2020,Jamuna,N,34.42,5.05E+03,3.03E+06,Padma
222,Sample-42,Dhaka,Dhaka,Drainage,Isolation Center Drain Effluent,12/6/2020,Jamuna,N,36.37,1.33E+03,7.98E+05,Padma
223,Sample-43,Dhaka,Dhaka,Drainage,Isolation Center Drain Effluent,12/6/2020,Jamuna,N,41.85,1.04E+02,1.44E+05,Padma
225,Sample-45,Dhaka,Dhaka,Drainage,Sadar Hospital Drain Effluent,12/6/2020,Jamuna,N,33.11,7.55E+03,4.53E+06,Padma
226,Sample-46,Dhaka,Dhaka,Drainage,Sadar Hospital Drain Effluent,12/6/2020,Jamuna,N,36.44,1.20E+03,7.18E+05,Padma
228,Sample-48,Dhaka,Dhaka,Drainage,kuwait Moitri Hospital,12/6/2020,Jamuna,N,33.37,7.06E+03,4.23E+06,Padma
229,Sample-49,Dhaka,Dhaka,Drainage,kuwait Moitri Hospital,12/6/2020,Jamuna,N,36.2,1.65E+03,9.93E+05,Padma
83,Sample-113,Brahmobaria,Chittagong,NDrainage,Market Place,12/14/2020,Jamuna,ORF1ab,37.7,8.73E+02,5.24E+05,Padma
84,Sample-114,Brahmobaria,Chittagong,NDrainage,Communal Pond/River,12/14/2020,Jamuna,ORF1ab,37.96,7.88E+02,4.73E+05,Padma
263,Sample-113,Brahmobaria,Chittagong,NDrainage,Market Place,12/14/2020,Jamuna,N,41.76,1.95E+02,1.22E+05,Padma
264,Sample-114,Brahmobaria,Chittagong,NDrainage,Communal Pond/River,12/14/2020,Jamuna,N,41.71,1.84E+02,1.35E+05,Padma
73,Sample-73,Comilla,Chittagong,NDrainage,Market Place,12/11/2020,Jamuna,ORF1ab,41.85,1.93E+02,1.44E+05,Padma
74,Sample-74,Comilla,Chittagong,NDrainage,Communal Pond/River,12/11/2020,Jamuna,ORF1ab,36.62,1.23E+03,7.36E+05,Padma
253,Sample-73,Comilla,Chittagong,NDrainage,Market Place,12/11/2020,Jamuna,N,37.48,9.45E+02,5.67E+05,Padma
254,Sample-74,Comilla,Chittagong,NDrainage,Communal Pond/River,12/11/2020,Jamuna,N,41.77,1.63E+02,1.15E+05,Padma
41,Sample-41,Dhaka,Dhaka,NDrainage,Market Place,12/6/2020,Jamuna,ORF1ab,41.71,1.63E+02,1.35E+05,Padma
44,Sample-44,Dhaka,Dhaka,NDrainage,Communal Pond/River,12/6/2020,Jamuna,ORF1ab,32.12,2.47E+04,1.48E+07,Padma
47,Sample-47,Dhaka,Dhaka,NDrainage,Bus Stand/ Rail station ,12/6/2020,Jamuna,ORF1ab,37.61,9.02E+02,5.41E+05,Padma
221,Sample-41,Dhaka,Dhaka,NDrainage,Market Place,12/6/2020,Jamuna,N,35.42,3.14E+03,1.89E+06,Padma
224,Sample-44,Dhaka,Dhaka,NDrainage,Communal Pond/River,12/6/2020,Jamuna,N,37.24,1.02E+03,6.14E+05,Padma
227,Sample-47,Dhaka,Dhaka,NDrainage,Bus Stand/ Rail station ,12/6/2020,Jamuna,N,36.45,1.18E+03,7.06E+05,Padma
78,Sample-78,Kishorgonj,Dhaka,NDrainage,Market Place,12/12/2020,Jamuna,ORF1ab,34.4,5.09E+03,3.05E+06,Surma
79,Sample-79,Kishorgonj,Dhaka,NDrainage,Communal Pond/River,12/12/2020,Jamuna,ORF1ab,38.27,6.86E+02,4.12E+05,Surma
258,Sample-78,Kishorgonj,Dhaka,NDrainage,Market Place,12/12/2020,Jamuna,N,41.13,1.31E+02,1.20E+05,Padma
259,Sample-79,Kishorgonj,Dhaka,NDrainage,Communal Pond/River,12/12/2020,Jamuna,N,41.9,1.07E+02,1.11E+05,Padma
86,Sample-116,Habigonj,Sylhet,Drainage,Isolation Center Drain Effluent,12/15/2020,Jamuna,ORF1ab,41.9,1.22E+02,1.06E+05,Surma
87,Sample-117,Habigonj,Sylhet,Drainage,Sadar Hospital Drain Effluent,12/15/2020,Jamuna,ORF1ab,36.49,1.10E+03,6.61E+05,Surma
89,Sample-119,Habigonj,Sylhet,Drainage,City Drain Effluent,12/15/2020,Jamuna,ORF1ab,41.76,1.04E+02,1.11E+05,Surma
266,Sample-116,Habigonj,Sylhet,Drainage,Isolation Center Drain Effluent,12/15/2020,Jamuna,N,41.77,1.52E+02,1.26E+05,Surma
267,Sample-117,Habigonj,Sylhet,Drainage,Sadar Hospital Drain Effluent,12/15/2020,Jamuna,N,34.12,5.63E+03,3.38E+06,Surma
269,Sample-119,Habigonj,Sylhet,Drainage,City Drain Effluent,12/15/2020,Jamuna,N,38.4,6.44E+02,3.86E+05,Surma
76,Sample-76,Kishorgonj,Dhaka,Drainage,Isolation Center Drain Effluent,12/12/2020,Jamuna,ORF1ab,41.77,1.95E+02,1.22E+05,Surma
77,Sample-77,Kishorgonj,Dhaka,Drainage,Sadar Hospital Drain Effluent,12/12/2020,Jamuna,ORF1ab,38.4,6.44E+02,3.86E+05,Surma
80,Sample-80,Kishorgonj,Dhaka,Drainage,City Drain Effluent,12/12/2020,Jamuna,ORF1ab,39.28,3.56E+02,2.14E+05,Surma
256,Sample-76,Kishorgonj,Dhaka,Drainage,Isolation Center Drain Effluent,12/12/2020,Jamuna,N,36.48,1.12E+03,6.72E+05,Surma
257,Sample-77,Kishorgonj,Dhaka,Drainage,Sadar Hospital Drain Effluent,12/12/2020,Jamuna,N,41.14,1.22E+02,1.19E+05,Surma
260,Sample-80,Kishorgonj,Dhaka,Drainage,City Drain Effluent,12/12/2020,Jamuna,N,41.13,2.00E+02,1.20E+05,Surma
1,Sample-1,Mymensingh,Mymensing,Drainage,Isolation Center Drain Effluent,12/1/2020,Jamuna,ORF1ab,41.9,1.11E+02,1.44E+05,Surma
2,Sample-2,Mymensingh,Mymensing,Drainage,Sadar Hospital Drain Effluent,12/1/2020,Jamuna,ORF1ab,37.12,1.06E+03,1.11E+05,Surma
3,Sample-3,Mymensingh,Mymensing,Drainage,Medical College Drain Wastage,12/1/2020,Jamuna,ORF1ab,41.85,1.52E+02,1.22E+05,Surma
5,Sample-5,Mymensingh,Mymensing,Drainage,City Drain Effluent,12/1/2020,Jamuna,ORF1ab,41.76,1.63E+02,1.20E+05,Surma
181,Sample-1,Mymensingh,Mymensing,Drainage,Isolation Center Drain Effluent,12/1/2020,Jamuna,N,34.35,5.19E+03,3.11E+06,Surma
182,Sample-2,Mymensingh,Mymensing,Drainage,Sadar Hospital Drain Effluent,12/1/2020,Jamuna,N,35.47,3.05E+03,1.83E+06,Surma
183,Sample-3,Mymensingh,Mymensing,Drainage,Medical College Drain Wastage,12/1/2020,Jamuna,N,34.1,5.66E+03,3.40E+06,Padma
185,Sample-5,Mymensingh,Mymensing,Drainage,City Drain Effluent,12/1/2020,Jamuna,N,41.51,1.52E+02,1.11E+05,Surma
8,Sample-8,Sylhet,Sylhet,Drainage,Isolation Center Drain Effluent,12/2/2020,Jamuna,ORF1ab,37.21,1.03E+03,6.20E+05,Surma
9,Sample-9,Sylhet,Sylhet,Drainage,Sadar Hospital Drain Effluent,12/2/2020,Jamuna,ORF1ab,41.67,1.93E+02,1.26E+05,Surma
12,Sample-12,Sylhet,Sylhet,Drainage,City Drain Effluent,12/2/2020,Jamuna,ORF1ab,29.56,6.31E+04,3.79E+07,Surma
188,Sample-8,Sylhet,Sylhet,Drainage,Isolation Center Drain Effluent,12/2/2020,Jamuna,N,41.77,1.40E+02,1.26E+05,Surma
189,Sample-9,Sylhet,Sylhet,Drainage,Sadar Hospital Drain Effluent,12/2/2020,Jamuna,N,37.36,9.84E+02,5.91E+05,Surma
192,Sample-12,Sylhet,Sylhet,Drainage,City Drain Effluent,12/2/2020,Jamuna,N,41.51,1.04E+02,1.12E+05,Surma
88,Sample-118,Habigonj,Sylhet,NDrainage,Communal Pond/River,12/15/2020,Jamuna,ORF1ab,38.95,4.64E+02,2.78E+05,Surma
90,Sample-122,Habigonj,Sylhet,NDrainage,Market Place,12/15/2020,Jamuna,ORF1ab,37.19,8.40E+02,5.81E+05,Surma
268,Sample-118,Habigonj,Sylhet,NDrainage,Communal Pond/River,12/15/2020,Jamuna,N,41.85,1.11E+02,1.44E+05,Surma
270,Sample-121,Habigonj,Sylhet,NDrainage,Market Place,12/15/2020,Jamuna,N,38.4,6.44E+02,3.86E+05,Surma
4,Sample-4,Mymensingh,Mymensing,NDrainage,Market Place,12/1/2020,Jamuna,ORF1ab,41.77,1.04E+02,1.06E+05,Surma
6,Sample-6,Mymensingh,Mymensing,NDrainage,Bus Stand/ Rail station ,12/1/2020,Jamuna,ORF1ab,36.41,1.25E+03,7.52E+05,Surma
7,Sample-7,Mymensingh,Mymensing,NDrainage,Communal Pond/River,12/1/2020,Jamuna,ORF1ab,36.12,1.81E+03,1.08E+06,Surma
184,Sample-4,Mymensingh,Mymensing,NDrainage,Market Place,12/1/2020,Jamuna,N,41.57,1.52E+02,1.22E+05,Surma
186,Sample-6,Mymensingh,Mymensing,NDrainage,Bus Stand/ Rail station ,12/1/2020,Jamuna,N,37.92,8.01E+02,4.81E+05,Surma
187,Sample-7,Mymensingh,Mymensing,NDrainage,Communal Pond/River,12/1/2020,Jamuna,N,41.71,1.22E+02,1.15E+05,Surma
10,Sample-10,Sylhet,Sylhet,NDrainage,Market Place,12/2/2020,Jamuna,ORF1ab,34.13,5.61E+03,3.36E+06,Surma
11,Sample-11,Sylhet,Sylhet,NDrainage,Bus Stand/ Rail station ,12/2/2020,Jamuna,ORF1ab,41.77,1.95E+02,1.35E+05,Surma
13,Sample-13,Sylhet,Sylhet,NDrainage,Communal Pond/River,12/2/2020,Jamuna,ORF1ab,38.81,5.10E+02,3.06E+05,Surma
190,Sample-10,Sylhet,Sylhet,NDrainage,Market Place,12/2/2020,Jamuna,N,36.54,1.25E+03,7.52E+05,Surma
191,Sample-11,Sylhet,Sylhet,NDrainage,Bus Stand/ Rail station ,12/2/2020,Jamuna,N,34.72,4.48E+03,2.69E+06,Surma
193,Sample-13,Sylhet,Sylhet,NDrainage,Communal Pond/River,12/2/2020,Jamuna,N,41,1.63E+02,1.35E+05,Surma
